Name,Count
han,6270
darkness,350
iod,296
ubb,276
ghoul,200
ghast,128
ghouls,118
cthulhu,98
nyarlathotep,96
ghatanothoa,68
zoogs,64
yig,51
shantak,43
azathoth,40
gug,40
thog,40
tsathoggua,40
yeb,32
dagon,30
gugs,30
shoggoth,22
ghasts,22
oorn,20
shoggoths,18
nug,16
bokrug,15
shantaks,13
elder thing,9
elder things,9
nodens,8
mormo,6
hypnos,5
colour out of space,4
hastur,4
deep one,3
chaugnar faugn,2
magnum innominandum,2
mother hydra,2
deep ones,2
dimensional shambler,1
cats from saturn,1
hounds of tindalos,1
'umr at-tawill,0
abhoth,0
apocolothoth,0
atlach-natcha,0
basatan,0
byakhee,0
byatis,0
cat from saturn,0
